deutscher Name;wissenschaftlicher Name;Kategorie;;
Wiedehopf;Upupa epops;A;;

RACKENVÖGEL;ORDNUNG CORACIIFORMES;;;
Racken;Familie Coraciidae;;;
Blauracke;Coracias garrulus;A;;
Eisvögel;Familie Alcedinidae;;;
Eisvogel;Alcedo atthis;A;;
Spinte;Familie Meropidae;;;
Blauwangenspint;Merops persicus;A;;
Bienenfresser;Merops apiaster;A;;

SPECHTVÖGEL;ORDNUNG PICIFORMES;;;
Spechte;Familie Picidae;;;
Wendehals;Jynx torquilla;A;;
Dreizehenspecht;Picoides tridactylus;A;;
Mittelspecht;Dendrocoptes medius;A;;
Kleinspecht;Dryobates minor;A;;
Blutspecht;Dendrocopos syriacus;A;;
Buntspecht;Dendrocopos major;A;;
Weißrückenspecht;Dendrocopos leucotos;A;;
Schwarzspecht;Dryocopus martius;A;;
Grünspecht;Picus viridis;A;;
Grauspecht;Picus canus;A;;

FALKEN;ORDNUNG FALCONIFORMES;;;
Falken;Familie Falconidae;;;
Rötelfalke;Falco naumanni;A;;
Turmfalke;Falco tinnunculus;A;;
Rotfußfalke;Falco vespertinus;A;;
Eleonorenfalke;Falco eleonorae;A;;
Merlin;Falco columbarius;A;;
Baumfalke;Falco subbuteo;A;;
Würgfalke;Falco cherrug;A;;
Gerfalke;Falco rusticolus;A;;
Wanderfalke;Falco peregrinus;A;;

PAPAGEIEN;ORDNUNG PSITTACIFORMES;;;
Altweltpapageien;Familie Psittaculidae;;;
Halsbandsittich;Psittacula krameri;C1;;

SPERLINGSVÖGEL;ORDNUNG PASSERIFORMES;;;
Würger;Familie Laniidae;;;
Braunwürger;Lanius cristatus;A;;
Neuntöter;Lanius collurio;A;;
Isabellwürger;Lanius isabellinus;A;;
Rotschwanzwürger;Lanius phoenicuroides;A;;
Schwarzstirnwürger;Lanius minor;A;;
Raubwürger;Lanius excubitor;A;;
Rotkopfwürger;Lanius senator;A;;
Maskenwürger;Lanius nubicus;A;;
Vireos;Familie Vireonidae;;;
Gelbkehlvireo;Vireo flavifrons;Ao;;
Rotaugenvireo;Vireo olivaceus;A;;
Pirole;Familie Oriolidae;;;
Pirol;Oriolus oriolus;A;;
Krähenverwandte;Familie Corvidae;;;
Eichelhäher;Garrulus glandarius;A;;
Elster;Pica pica;A;;
Tannenhäher;Nucifraga caryocatactes;A;;
Alpenkrähe;Pyrrhocorax pyrrhocorax;B;;
Alpendohle;Pyrrhocorax graculus;A;;
Dohle;Corvus monedula;A;;
Saatkrähe;Corvus frugilegus;A;;
Rabenkrähe;Corvus corone;A;;
Nebelkrähe;Corvus cornix;A;;
Kolkrabe;Corvus corax;A;;
Seidenschwänze;Familie Bombycillidae;;;
Seidenschwanz;Bombycilla garrulus;A;;
Meisen;Familie Paridae;;;
Tannenmeise;Periparus ater;A;;
Haubenmeise;Lophophanes cristatus;A;;
Sumpfmeise;Poecile palustris;A;;
Weidenmeise;Poecile montanus;A;;
Blaumeise;Cyanistes caeruleus;A;;
Lasurmeise;Cyanistes cyanus;A;;
